ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.05 	 30 	 	 16	0	2771.37	15
 10 	 0.2 	 0.05 	 30 	 	 17	0.016	3123.21	7
 10 	 0.2 	 0.05 	 30 	 	 18	0.016	4082.9	25
 10 	 0.2 	 0.05 	 30 	 	 19	0	2371.49	13
 10 	 0.2 	 0.05 	 30 	 	 20	0	3051.17	12
 10 	 0.2 	 0.05 	 30 	 	 21	0	4475.58	18
 10 	 0.2 	 0.05 	 30 	 	 22	0.016	2449.93	15
 10 	 0.2 	 0.05 	 30 	 	 23	0.016	4579.18	25
 10 	 0.2 	 0.05 	 30 	 	 24	0	2729.06	20
 10 	 0.2 	 0.05 	 30 	 	 25	0	3654.46	12
 10 	 0.2 	 0.05 	 30 	 	 26	0.016	4565.69	17
 10 	 0.2 	 0.05 	 30 	 	 27	0.015	3024.42	4
 10 	 0.2 	 0.05 	 30 	 	 28	0	2952.46	16
 10 	 0.2 	 0.05 	 30 	 	 29	0.016	2215.53	23
 10 	 0.2 	 0.05 	 30 	 	 30	0.016	2539.45	15
 10 	 0.2 	 0.05 	 30 	 	 31	0.015	3888.51	22
 10 	 0.2 	 0.05 	 30 	 	 32	0	1558.4	13
 10 	 0.2 	 0.05 	 30 	 	 33	0.016	3425.31	19
 10 	 0.2 	 0.05 	 30 	 	 34	0	3430.33	20
 10 	 0.2 	 0.05 	 30 	 	 35	0.016	2683.87	21
 10 	 0.2 	 0.05 	 30 	 	 36	0.015	3927.45	25
 10 	 0.2 	 0.05 	 30 	 	 37	0	3077.02	21
 10 	 0.2 	 0.05 	 30 	 	 38	0.016	3166.81	5
 10 	 0.2 	 0.05 	 30 	 	 39	0.015	3312.64	25
 10 	 0.2 	 0.05 	 30 	 	 40	0.016	3929	25
 10 	 0.2 	 0.05 	 30 	 	 41	0.016	3675.05	0
 10 	 0.2 	 0.05 	 30 	 	 42	0.015	5549.48	28
 10 	 0.2 	 0.05 	 30 	 	 43	0.016	2590.66	19
 10 	 0.2 	 0.05 	 30 	 	 44	0	3003.74	13
 10 	 0.2 	 0.05 	 30 	 	 45	0.016	2707.29	18
 10 	 0.2 	 0.05 	 30 	 	 46	0	1994.46	19
 10 	 0.2 	 0.05 	 30 	 	 47	0.015	5009.86	20
 10 	 0.2 	 0.05 	 30 	 	 48	0.016	4133.69	10
 10 	 0.2 	 0.05 	 30 	 	 49	0	3122.65	20
wart srednie: 0.47838	169075	846	

-----------------------

-----------------------
 10 	 0.2 	 0.1 	 10 	 	 0	0	994.841	3
 10 	 0.2 	 0.1 	 10 	 	 1	0	1013.22	3
 10 	 0.2 	 0.1 	 10 	 	 2	0	730.766	3
 10 	 0.2 	 0.1 	 10 	 	 3	0	831.744	4
 10 	 0.2 	 0.1 	 10 	 	 4	0	1000.65	3
 10 	 0.2 	 0.1 	 10 	 	 5	0	1100.19	5
 10 	 0.2 	 0.1 	 10 	 	 6	0	1800.95	5
 10 	 0.2 	 0.1 	 10 	 	 7	0	631.376	3
 10 	 0.2 	 0.1 	 10 	 	 8	0	867.061	1
 10 	 0.2 	 0.1 	 10 	 	 9	0	1224.96	4
 10 	 0.2 	 0.1 	 10 	 	 10	0	1172.99	4
 10 	 0.2 	 0.1 	 10 	 	 11	0	972.635	2
 10 	 0.2 	 0.1 	 10 	 	 12	0	1160.54	5
 10 	 0.2 	 0.1 	 10 	 	 13	0	897.155	2
 10 	 0.2 	 0.1 	 10 	 	 14	0	636.929	4
 10 	 0.2 	 0.1 	 10 	 	 15	0	1372.64	6
 10 	 0.2 	 0.1 	 10 	 	 16	0	1189.03	3
 10 	 0.2 	 0.1 	 10 	 	 17	0	219.965	1
 10 	 0.2 	 0.1 	 10 	 	 18	0	1467.06	6
 10 	 0.2 	 0.1 	 10 	 	 19	0	1323.35	4
 10 	 0.2 	 0.1 	 10 	 	 20	0	864.17	6
 10 	 0.2 	 0.1 	 10 	 	 21	0	1033.39	4
 10 	 0.2 	 0.1 	 10 	 	 22	0	588.277	3
 10 	 0.2 	 0.1 	 10 	 	 23	0	1452.46	4
 10 	 0.2 	 0.1 	 10 	 	 24	0	1086.38	5
 10 	 0.2 	 0.1 	 10 	 	 25	0	1146.86	4
 10 	 0.2 	 0.1 	 10 	 	 26	0	828.314	2
 10 	 0.2 	 0.1 	 10 	 	 27	0	1603.87	5
 10 	 0.2 	 0.1 	 10 	 	 28	0	1251.61	4
 10 	 0.2 	 0.1 	 10 	 	 29	0	234.166	1
 10 	 0.2 	 0.1 	 10 	 	 30	0	950.971	4
 10 	 0.2 	 0.1 	 10 	 	 31	0	950.959	3
 10 	 0.2 	 0.1 	 10 	 	 32	0	1581.74	2
 10 	 0.2 	 0.1 	 10 	 	 33	0	963.243	2
 10 	 0.2 	 0.1 	 10 	 	 34	0	1677.19	6
 10 	 0.2 	 0.1 	 10 	 	 35	0.016	1261.14	5
 10 	 0.2 	 0.1 	 10 	 	 36	0	894.742	6
 10 	 0.2 	 0.1 	 10 	 	 37	0	1017.54	4
 10 	 0.2 	 0.1 	 10 	 	 38	0	1240.51	4
 10 	 0.2 	 0.1 	 10 	 	 39	0	1355.81	5
 10 	 0.2 	 0.1 	 10 	 	 40	0	556.941	4
 10 	 0.2 	 0.1 	 10 	 	 41	0	691.941	2
 10 	 0.2 	 0.1 	 10 	 	 42	0.015	1278.22	2
 10 	 0.2 	 0.1 	 10 	 	 43	0	796.631	4
 10 	 0.2 	 0.1 	 10 	 	 44	0	1578.42	3
 10 	 0.2 	 0.1 	 10 	 	 45	0	810.137	1
 10 	 0.2 	 0.1 	 10 	 	 46	0	692.311	3
 10 	 0.2 	 0.1 	 10 	 	 47	0	1445.98	4
 10 	 0.2 	 0.1 	 10 	 	 48	0	1228.02	4
 10 	 0.2 	 0.1 	 10 	 	 49	0	1198.7	1
wart srednie: 0.03162	53898	181	

-----------------------
 10 	 0.2 	 0.1 	 20 	 	 0	0	2581.6	9
 10 	 0.2 	 0.1 	 20 	 	 1	0	1205.77	3
 10 	 0.2 	 0.1 	 20 	 	 2	0	1068.05	9
 10 	 0.2 	 0.1 	 20 	 	 3	0	2379.62	6
 10 	 0.2 	 0.1 	 20 	 	 4	0	1909.99	5
 10 	 0.2 	 0.1 	 20 	 	 5	0	2009.66	11
 10 	 0.2 	 0.1 	 20 	 	 6	0	2565.4	5
